type	id	pedigree	trait1	trait2	trait3
training	L0001	f1_X_m1	-1.74610282478836	-0.785525121573821	-0.331636965445395
training	L0002	f2_X_m1	-1.67924837319023	-1.5694898694515	-2.57261413504835
training	L0003	f3_X_m1	-2.74891959876045	-0.608643883224438	-1.10881183080429
training	L0004	f4_X_m1	-2.41464734076976	-0.672045141494308	-1.31505078714756
training	L0005	f5_X_m1	-1.87981172798464	-0.740912762992952	-1.87918131205325
training	L0006	f6_X_m1	-2.34779288917163	-0.401772211839261	-1.44292037279286
training	L0007	f7_X_m1	-2.01352063118091	-0.526802316828945	-0.68881217778566
training	L0008	f8_X_m1	-2.21408398597536	-0.691969107462486	-1.58963012707941
training	L0009	f9_X_m1	-1.87981172798464	-0.759537339876236	-1.87201774983222
training	L0010	f10_X_m1	-1.94666617958278	-0.626999653218476	-1.91800781929116
training	L0011	f11_X_m1	-2.68206514716231	-0.26447009853694	-1.62680901500655
training	L0012	f12_X_m1	-2.34779288917163	-0.85482587276743	-1.56720817732765
training	L0013	f13_X_m1	-1.8129572763865	-0.973503409186516	-0.791895838146186
training	L0014	f14_X_m1	-2.14722953437718	-0.776862527674627	-1.86191712710056
training	L0015	f15_X_m1	-1.67924837319023	-0.979567224915924	-1.26784291211103
training	L0016	f16_X_m1	-2.61521069556417	-1.95324277918611	-1.97374033337076
training	L0017	f17_X_m1	-2.74891959876045	-0.393109617940067	-0.579711125159478
training	L0018	f18_X_m1	-1.94666617958278	-1.03847286343053	-0.53608503123341
training	L0019	f19_X_m1	-2.34779288917163	-0.166149657780993	-1.01718986999741
training	L0020	f20_X_m1	-2.34779288917163	-0.989293640262856	-2.16586707213863
training	L0021	f21_X_m1	-2.61521069556417	-0.570503923320798	-2.40656276276502
training	L0022	f22_X_m1	-1.61239392159209	-0.785091991878903	-1.63074897422812
training	L0023	f23_X_m1	-2.54835624396604	-0.342000313934778	-1.6333278566277
training	L0024	f24_X_m1	-3.21690075994744	-1.18573695971694	-1.7811121452474
training	L0025	f25_X_m1	-2.21408398597536	-1.10604109584428	-1.751669904519
training	L0026	f26_X_m1	-1.54553946999396	0.0599440429881484	-1.1437700144429
training	L0027	f27_X_m1	-2.94948295355489	-0.529545471852461	-2.12682565803401
training	L0028	f28_X_m1	-2.68206514716231	0.241858514871387	-1.41784790501925
training	L0029	f29_X_m1	-2.4815017923679	-0.5204497482583	-1.33417749827773
training	L0030	f30_X_m1	-2.08037508277905	-1.15061660711627	-2.15290102451855
training	L0031	f31_X_m1	-1.8129572763865	-0.668580103934641	-0.889391919974329
training	L0032	f32_X_m1	-2.54835624396604	-0.903336398602979	-2.37110312977097
training	L0033	f33_X_m1	-1.87981172798464	-0.782060084014153	-1.28016423913117
training	L0034	f34_X_m1	-1.61239392159209	-0.102912722316843	-1.75009392083035
training	L0035	f35_X_m1	-2.21408398597532	-0.754339783536709	-2.60119674831025
training	L0036	f36_X_m1	-1.94666617958278	-0.335070238815392	-1.84221733099272
training	L0037	f37_X_m1	-2.34779288917163	-1.22471863226332	-2.27460994665376
training	L0038	f38_X_m1	-1.74610282478836	-0.0431408244123567	-1.60796884636526
training	L0039	f39_X_m1	-2.08037508277905	-1.31654212759484	-2.50212468279346
training	L0040	f40_X_m1	-1.47868501839578	-0.489264410221189	-1.0025045674443
training	L0041	f41_X_m1	-1.47868501839578	-0.28441293531803	-0.627850263284727
training	L0042	f42_X_m1	-2.14722953437718	-0.279629637860506	-0.598766200667381
training	L0043	f43_X_m1	-2.08037508277905	-0.0994476847571265	-1.60854193134292
training	L0044	f44_X_m1	-1.74610282478836	-1.52617689995552	-1.64450301369246
training	L0045	f45_X_m1	-2.61521069556417	-2.17067388605605	-2.05440204397948
training	L0046	f46_X_m1	-2.34779288917163	-0.222456518125809	-1.26769964086659
training	L0047	f47_X_m1	-1.67924837319023	-1.16364734527394	-1.5255878808235
training	L0048	f48_X_m1	-1.67924837319023	-0.85785778063218	-1.44922430754735
training	L0049	f49_X_m1	-2.88262850195675	-0.958776999557865	-1.69643883979489
training	L0050	f50_X_m1	-2.4815017923679	-1.00035745027403	-1.91979870984642
training	L0051	f51_X_m1	-1.34497611519951	-1.13174012470067	-2.10311426708244
training	L0052	f52_X_m1	-2.01352063118091	-0.418231140247722	-1.46512741567801
training	L0053	f53_X_m1	-1.61239392159209	-0.179143548629787	-1.92918297635598
training	L0054	f54_X_m1	-3.75173637273256	-1.37343937738823	-2.9625268267387
training	L0055	f55_X_m1	-2.08037508277905	-0.873450449650714	-2.33979836286509
training	L0056	f56_X_m1	-1.94666617958278	-0.827105572289986	-1.56462929492807
training	L0057	f57_X_m1	-2.34779288917163	-1.46817875002168	-1.88849394294054
training	L0058	f58_X_m1	-3.1500463083493	-0.30648367894802	-0.828573276717835
training	L0059	f59_X_m1	-2.54835624396604	-0.821619263109272	-1.0635381175674
training	L0060	f60_X_m1	-2.34779288917163	-0.281362156640365	-1.09813812309496
training	L0061	f61_X_m1	-1.94666617958278	-0.331605201255724	-1.5104011289149
training	L0062	f62_X_m1	-1.34497611519951	-1.02576772542292	-1.42952451143956
training	L0063	f63_X_m1	-2.14722953437718	-0.426893734146916	-1.39162926729032
training	L0064	f64_X_m1	-2.08037508277905	-1.41702821682556	-2.18434906266887
training	L0065	f65_X_m1	-2.34779288917163	-0.469445810584247	-2.51358638234711
training	L0066	f66_X_m1	-2.28093843757349	-0.905068917382836	-1.40258951748848
training	L0067	f67_X_m1	-3.08319185675117	-1.44085035004837	-2.1918708030009
training	L0068	f68_X_m1	-1.87981172798464	-0.808047865711787	-2.05683765513462
training	L0069	f69_X_m1	-1.94666617958278	-0.606209427860369	-1.23288472847241
training	L0070	f70_X_m1	-1.54553946999396	-0.37231939258196	-1.54822473744192
training	L0071	f71_X_m1	-2.14722953437718	-0.606209427860369	-1.80425045122131
training	L0072	f72_X_m1	-2.14722953437718	-0.592782407316611	-0.812097083609463
training	L0073	f73_X_m1	-1.27812166360137	-0.0916513502478594	-0.790964575057472
training	L0074	f74_X_m1	-2.28093843757349	0.591827308399097	-1.02514142406272
training	L0075	f75_X_m1	-2.08037508277905	-1.01335134112282	-1.49965578558335
training	L0076	f76_X_m1	-2.34779288917163	-1.87094813714371	-1.04247724463763
training	L0077	f77_X_m1	-2.41464734076976	-1.44041722035341	-1.70911834492614
training	L0078	f78_X_m1	-3.21690075994744	-0.451148997064693	-1.04104453219342
training	L0079	f79_X_m1	-1.41183056679765	-0.293489788099229	-0.132346664456493
training	L0080	f80_X_m1	-2.68206514716231	-0.582820424332524	-2.24058302610391
training	L0081	f81_X_m1	-2.21408398597536	-0.598066589595151	-1.63769762958249
training	L0082	f82_X_m1	-2.4815017923679	-0.691969107462486	-1.82344879797365
training	L0083	f83_X_m1	-2.28093843757349	-0.510054635579247	-1.89107282534012
training	L0084	f84_X_m1	-1.94666617958278	-1.05839682939866	-2.61029447233093
training	L0085	f85_X_m1	-1.67924837319023	-0.776862527674627	-0.902644510083236
training	L0086	f86_X_m1	-2.61521069556417	-0.900737620433193	-1.92545792400102
training	L0087	f87_X_m1	-1.41183056679765	0.715590252691035	-0.70478692153854
training	L0088	f88_X_m1	-2.08037508277905	-0.215526443006425	-0.292165737607554
training	L0089	f89_X_m1	-2.88262850195672	-1.70462633427905	-2.40692094087607
training	L0090	f90_X_m1	-2.14722953437718	-0.795053974862945	-1.68368769904147
training	L0091	f91_X_m1	-2.74891959876045	-1.89780217823122	-2.62806010663907
training	L0092	f92_X_m1	-3.01633740515303	-1.61280283894752	-2.14036479063175
training	L0093	f93_X_m1	-2.68206514716231	-0.0509371589216238	-1.44506944145917
training	L0094	f94_X_m1	-2.81577405035858	-0.875616098125535	-2.27604265909797
training	L0095	f95_X_m1	-3.1500463083493	-1.81983883313842	-2.90557650708155
training	L0096	f96_X_m1	-2.54835624396604	-1.51881369514117	-1.55424212970757
training	L0097	f97_X_m1	-1.74610282478836	-0.342000313934778	-1.34270213732075
training	L0098	f98_X_m1	-1.94666617958278	-0.632990314180528	-1.95404053726292
training	L0099	f99_X_m1	-1.41183056679765	-1.38237784122878	-2.15684098374012
training	L0100	f100_X_m1	-2.08037508277905	-0.156620804491869	-1.28252821466414
training	L0101	f101_X_m1	-2.4815017923679	-1.68623808815004	-2.72047005929027
training	L0102	f102_X_m1	-2.14722953437718	-0.706695517091136	-0.570613401138749
training	L0103	f103_X_m1	-1.41183056679765	-0.801550920287365	-1.38217336515859
training	L0104	f104_X_m1	-2.68206514716231	-0.136696838523692	-1.40996798657617
training	L0105	f105_X_m1	-2.01352063118091	-1.23208183707762	-1.66635187846661
training	L0106	f106_X_m1	-1.87981172798464	-0.36972061441222	-1.16683668479459
training	L0107	f107_X_m1	-1.94666617958278	-0.84962831642795	-0.96826274002779
training	L0108	f108_X_m1	-2.41464734076976	-0.803716568762187	-0.517244862592119
training	L0109	f109_X_m1	-1.34497611519951	-0.77556313858978	-1.87294901292093
training	L0110	f110_X_m1	-2.28093843757349	-0.389644580380351	-1.7608392641619
training	L0111	f111_X_m1	-2.61521069556417	-1.31574892142707	-2.31751968435768
training	L0112	f112_X_m1	-2.34779288917163	-1.11730246791321	-1.70109515523856
training	L0113	f113_X_m1	-2.34779288917163	-0.822774275340389	-1.29370337172891
